TweetPostedTime,TweetID,TweetBody,TweetRetweetFlag,TweetSource,TweetInReplyToStatusID,TweetInReplyToUserID,TweetInReplyToScreenName,TweetRetweetCount,TweetFavoritesCount,TweetHashtags,TweetPlaceID,TweetPlaceName,TweetPlaceFullName,TweetCountry,TweetPlaceBoundingBox,TweetPlaceAttributes,TweetPlaceContainedWithin,UserID,UserName,UserScreenName,UserLocation,UserDescription,UserLink,UserExpandedLink,UserFollowersCount,UserFriendsCount,UserListedCount,UserSignupDate,UserTweetCount,MacroIterationNumber,tweet.place
Sat Nov 05 12:56:13 +0000 2016,794886035360665601,Ask yourself: Is this man fit to be the next president of the United States? https://t.co/caW4sPh7id,False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,3939,6514,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Sat Nov 05 02:31:29 +0000 2016,794728814177828864,"RT @CNN: Jay Z: ""I don't have any ill will toward (Trump), but his conversation is divisive ... he cannot be our president"" https://t.co/eJ.",True,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,10181,0,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Fri Nov 04 21:32:03 +0000 2016,794653459861667840,"We've got to take on discrimination &amp; bigotry.

We can't accept as normal what we're seeing across this country because of Trump's campaign.",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",794652613304340480,1339835893,HillaryClinton,1829,4197,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Fri Nov 04 21:28:41 +0000 2016,794652613304340480,"""If he doesn't respect all Americans now, how can we trust him to serve all Americans in the future?"" -Hillary on Trump",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",794652036650434560,1339835893,HillaryClinton,1479,3287,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Fri Nov 04 21:26:24 +0000 2016,794652036650434560,"The presidency doesn't change who you are-it reveals who you are. And we've seen all we need to of Donald Trump.",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",794651321639010304,1339835893,HillaryClinton,1252,2704,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Fri Nov 04 20:08:21 +0000 2016,794632397568385024,"""I sorta get away with things like that."" -Donald Trump, on bursting into Miss Universe pageant dressing rooms https://t.co/dwRPlqMhEL",False,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",,,,10145,16847,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Fri Nov 04 19:58:27 +0000 2016,794629906147708928,RT @BernieSanders: Donald Trump suffers from a very serious disease called amnesia. He seems to have forgotten 8 years ago we were losing 8.,True,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,77843,0,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Fri Nov 04 17:51:17 +0000 2016,794597904409366528,"Trump wants to give the biggest tax breaks in history to the super-wealthy and raise taxes on the middle class.

We can't afford that.",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",794597111874654213,1339835893,HillaryClinton,955,1863,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Fri Nov 04 13:12:03 +0000 2016,794527630787837952,"Make sure Trump isn't rewarded for running the most divisive campaign in history: https://t.co/3TKJ4H68Kz https://t.co/TU5M5GDOyq",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,1994,4888,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Fri Nov 04 03:02:45 +0000 2016,794374296126619648,"""I'm also honored to have the greatest temperament that anybody has."" -Donald Trump

About that: https://t.co/C3L5emZ7Jc",False,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",,,,8691,14548,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Fri Nov 04 01:38:58 +0000 2016,794353211918327808,The Central Park Five were exonerated. What does it say about Trump that he thinks they should still be in prison? https://t.co/Karh69ueM8,False,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",,,,7383,15157,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Fri Nov 04 01:18:16 +0000 2016,794347999971393545,"This election isn't just about who Trump is-it's about who WE are.

Are you ready to vote? https://t.co/3TKJ4H68Kz",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",794347246418624512,1339835893,HillaryClinton,964,2859,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Thu Nov 03 21:09:18 +0000 2016,794285346238464001,"RT @HillaryforIA: Ruline Steininger has seen a lot of history over the years, and when it comes to Hillary versus Trump, she has something.",True,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,2977,0,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Thu Nov 03 20:11:20 +0000 2016,794270760500133888,"Across America, people are rejecting Trump's dark vision for one that is hopeful and inclusive and unifying. https://t.co/GFY6lceUFV",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",794269711437594631,1339835893,HillaryClinton,1362,2963,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Thu Nov 03 19:34:37 +0000 2016,794261519638921218,"""I was denied an apartment in the Trump buildings based on the color of my skin.""

This is Mae Wiggins's story: https://t.co/lQvZr6qWow",False,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",,,,8969,13446,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
